0	500	500	500
0.05	460	569.25	457.5
0.1	416.829	638.027	412.276
0.15	371.976	703.467	365.852
0.2	327.081	762.832	319.866
0.25	283.721	813.879	275.864
0.3	243.212	855.111	235.098
0.35	206.482	885.878	198.417
0.4	174.028	906.3	166.239
0.45	145.964	917.097	138.6
0.5	122.111	919.366	115.257
0.55	102.1	914.381	95.7932
0.6	85.4705	903.442	79.7118
0.65	71.7364	887.766	66.5044
0.7	60.4341	868.435	55.6939
0.75	51.1461	846.377	46.856
0.8	43.5113	822.364	39.6273
0.85	37.2251	797.023	33.7041
0.9	32.0357	770.861	28.8371
0.95	27.7374	744.275	24.8238
1	24.1633	717.58	21.501
1.05	21.1788	691.018	18.7377
1.1	18.6754	664.774	16.4292
1.15	16.5659	638.988	14.4913
1.2	14.7801	613.765	12.8567
1.25	13.2614	589.182	11.4714
1.3	11.964	565.291	10.2917
1.35	10.8506	542.129	9.2825
1.4	9.89115	519.719	8.41527
1.45	9.06085	498.07	7.66679
1.5	8.33948	477.187	7.01807
1.55	7.71037	457.065	6.45356
1.6	7.15975	437.696	5.96042
1.65	6.67619	419.068	5.52806
1.7	6.25015	401.166	5.14765
1.75	5.87369	383.971	4.81185
1.8	5.5401	367.464	4.51451
1.85	5.24374	351.626	4.25044
1.9	4.97985	336.435	4.01529
1.95	4.74437	321.871	3.80534
2	4.53384	307.912	3.61745
2.05	4.34531	294.535	3.44894
2.1	4.17625	281.722	3.29751
2.15	4.02447	269.449	3.16118
2.2	3.88808	257.697	3.03824
2.25	3.76545	246.446	2.92722
2.3	3.65516	235.675	2.82685
2.35	3.55598	225.366	2.73601
2.4	3.46682	215.501	2.65373
2.45	3.38674	206.06	2.57916
2.5	3.3149	197.028	2.51155
2.55	3.25057	188.386	2.45026
2.6	3.19311	180.119	2.39469
2.65	3.14194	172.212	2.34435
2.7	3.09657	164.648	2.29877
2.75	3.05653	157.414	2.25755
2.8	3.02143	150.495	2.22034
2.85	2.99092	143.879	2.18682
2.9	2.96467	137.551	2.15669
2.95	2.9424	131.501	2.12971
3	2.92387	125.716	2.10564
3.05	2.90883	120.184	2.08429
3.1	2.89709	114.895	2.06545
3.15	2.88846	109.838	2.04897
3.2	2.88277	105.004	2.03469
3.25	2.87989	100.381	2.02249
3.3	2.87967	95.9625	2.01222
3.35	2.88199	91.738	2.00378
3.4	2.88675	87.6994	1.99707
3.45	2.89386	83.8386	1.992
3.5	2.90321	80.1479	1.98848
3.55	2.91474	76.6198	1.98643
3.6	2.92837	73.2472	1.98579
3.65	2.94403	70.0233	1.98649
3.7	2.96169	66.9416	1.98846
3.75	2.98127	63.9958	1.99167
3.8	3.00273	61.18	1.99605
3.85	3.02605	58.4884	2.00157
3.9	3.05117	55.9156	2.00818
3.95	3.07807	53.4564	2.01584
4	3.10673	51.1057	2.02453
4.05	3.13711	48.8588	2.0342
4.1	3.16919	46.7111	2.04484
4.15	3.20297	44.6582	2.05641
4.2	3.23842	42.696	2.06889
4.25	3.27554	40.8204	2.08225
4.3	3.31431	39.0277	2.09649
4.35	3.35472	37.3141	2.11157
4.4	3.39678	35.6762	2.12749
4.45	3.44048	34.1106	2.14422
4.5	3.48582	32.6142	2.16175
4.55	3.5328	31.1838	2.18008
4.6	3.58142	29.8166	2.19918
4.65	3.63169	28.5097	2.21906
4.7	3.68362	27.2606	2.23969
4.75	3.7372	26.0665	2.26107
4.8	3.79247	24.9252	2.2832
4.85	3.84941	23.8343	2.30607
